 	0042-0087	0052-0100	0064-0115	0055-0111	0080-0120	0071-0120	0063-0102	0051-0089	0051-0078	0075-0049	0082-0043	0072-0041	0063-0041	0052-0056	0051-0064	0049-0070	0062-0055	0091-0043	0092-0052	0083-0054	0060-0070	0074-0102	0069-0110	0078-0111	0060-0083	0065-0092	0068-0080	0076-0088	0063-0181	0063-0199	0070-0193	0071-0177	0105-0066	0103-0075	0107-0083	0109-0092	0097-0094	0101-0103	0092-0110	Average	Err
23	1618.632	24887.754	7681.863	11703.593	11607.869	5563.572	28206.279	8740.352	21329.919	22697.933	3785.312	4127.447	2240.050	2273.975	4468.793	3224.642	6908.444	5000.272	12706.593	9099.317	9475.902	12726.053	5081.796	3380.588	21869.814	22043.905	11242.592	24499.598	2247.414	1800.876	13612.290	2139.330	3723.512	5267.721	5319.002	6248.631	1688.059	3573.088	1743.021	9116.815	1224.030
24	1682.799	22612.202	7818.612	10468.646	12975.094	4995.013	24501.176	13633.329	41628.699	23647.548	3873.936	4737.031	2201.919	2221.642	4299.698	2757.592	7297.915	5236.164	13380.080	9808.044	10251.952	12172.220	5077.588	3280.656	30014.519	23037.964	11265.208	21526.627	2170.361	2666.601	12219.294	2213.753	3484.990	3984.649	5230.641	6226.541	2393.893	3518.652	1997.584	9807.970	1456.827
25	1597.068	21072.989	7352.877	11324.115	12705.541	5032.882	24542.727	10517.823	28052.963	21320.715	3137.859	3844.219	1796.406	2478.835	5021.310	3010.051	7454.913	3114.454	9765.705	7325.791	10821.563	11923.180	4498.246	3103.672	23612.309	14148.766	9918.232	12499.366	2171.676	2174.569	13213.615	2301.324	3406.886	4124.817	5361.342	5997.223	2183.773	3857.894	1721.194	8397.664	1120.376
26	1240.732	19407.546	6706.476	10251.426	12483.061	5391.847	21836.678	8797.681	15408.696	16678.093	2848.320	3258.040	1920.795	3077.374	5919.119	3033.193	6934.479	3193.873	10376.078	5988.545	12625.858	11859.276	4701.529	2906.438	20897.845	12077.548	10302.970	11762.763	2609.272	1861.624	13020.852	2478.309	3664.079	4501.139	5355.819	5323.473	2096.990	3546.790	2013.626	7650.212	900.663
27	1273.605	19615.299	7348.407	11367.506	16458.506	5306.116	22907.001	7805.200	11171.324	20278.268	2347.872	3586.237	1829.278	4022.781	7470.955	3252.780	7668.977	2631.099	7457.017	5275.874	15920.189	14120.365	4756.228	3140.489	18845.561	13748.776	10319.011	11282.564	2279.234	1489.773	11973.935	2352.079	3647.774	4299.172	5426.560	6348.037	2381.007	4099.308	1968.657	7883.919	948.084
28	1277.549	21347.275	7436.505	9670.506	13602.560	5281.659	23563.395	8201.246	9973.721	19155.613	2735.239	3415.038	2201.919	3175.991	7243.478	3177.306	6925.537	2917.483	8347.199	5193.298	14932.968	11207.352	4791.730	2797.828	18173.126	13575.999	9273.672	12864.906	2008.892	4284.971	13017.696	2735.239	3709.311	3661.712	5093.893	5304.538	1886.081	3681.435	2018.097	7688.768	924.295
29	1556.306	19829.627	7954.309	10496.522	13619.128	5243.790	22653.226	6941.316	9503.778	18274.372	2465.686	3440.021	1976.809	3384.270	6153.170	3300.117	7741.822	2741.550	7469.114	4601.071	13699.073	11689.655	5013.158	2739.972	16481.385	12809.417	8627.008	11454.026	2619.265	2928.265	12834.926	2259.511	3531.801	3732.979	4829.336	5120.979	2175.884	3802.405	1943.148	7375.338	871.487
30	1189.189	20862.343	8568.364	10764.234	15721.115	5494.935	23004.566	7043.878	9294.447	14995.031	2449.907	2612.691	1611.006	3143.118	6265.461	3592.286	7526.969	3025.304	8093.425	4482.205	13978.093	12419.683	4591.867	2968.501	16745.153	13876.058	8990.970	11576.311	2335.249	2292.646	13159.441	2043.080	3675.387	4109.038	5155.692	5656.666	1985.224	3898.392	1956.560	7465.500	894.103
31	1273.868	20295.888	7824.924	10219.868	13326.959	5464.955	21774.089	7701.061	9591.876	19321.026	2149.060	2935.102	1949.722	3532.064	6799.308	3436.865	7588.769	2176.147	6741.715	4896.922	15557.279	13074.499	5242.212	3258.566	17283.469	13493.161	16602.355	12245.065	2439.125	1851.368	12913.031	2361.283	3699.318	3584.133	4855.371	6014.580	2390.474	3794.253	1706.467	7727.338	933.138
32	1387.211	20622.770	7138.813	9872.211	13472.123	4995.013	24098.030	6778.532	10032.365	19783.606	2221.116	3617.532	1647.823	2945.622	5503.087	3315.106	6272.299	2077.267	5550.686	5382.380	12415.475	11498.207	4482.994	2575.874	19027.017	13390.600	11864.799	13932.335	2343.138	1734.080	12053.354	2241.891	3436.076	3467.897	4733.349	6304.382	2142.222	4016.470	2087.260	7447.718	949.348
33	1375.640	21106.913	7105.941	10725.839	15193.580	4912.700	22487.024	7580.617	9198.197	14691.817	2427.028	2641.356	1593.649	2958.508	5932.531	3256.462	6129.765	1990.747	5902.025	5475.737	12993.502	11652.575	4412.252	2565.092	17143.302	11233.124	10110.732	11381.970	2430.447	1692.792	12620.336	2105.668	3489.198	3550.209	4704.947	5709.262	1905.542	3674.861	1999.688	7129.784	881.146
34	1188.926	19975.843	7482.789	9492.470	14721.008	5527.807	21771.197	7511.979	9339.680	20047.373	2539.320	2940.099	1422.713	3275.660	6732.248	3223.853	6228.382	1846.898	6199.717	5332.414	14279.993	10919.917	4823.288	2702.367	21759.363	18127.630	16646.536	14673.671	2079.371	1616.003	12551.435	2626.892	3139.963	3526.015	4216.070	5542.008	2191.662	3710.100	2053.336	7794.513	1009.404
35	1179.195	20717.705	7990.337	9877.470	13853.968	5640.362	21092.449	7429.141	7571.938	16817.472	2571.666	2520.122	1465.842	4031.460	8408.736	3316.947	6868.471	2098.831	6252.576	6324.106	18267.272	11618.651	4763.329	3254.884	19257.912	15844.977	13427.154	15461.292	2169.309	1754.855	13249.117	2419.665	3319.840	4221.856	4820.921	5697.954	2059.647	3722.197	1776.156	7772.712	953.142
36	1343.820	20206.212	7538.277	9972.932	15030.007	5385.536	24004.410	8349.303	8247.530	14262.110	2958.245	2292.909	1287.017	3597.019	8124.456	3150.219	7609.018	2065.696	6792.733	6578.406	18737.214	10333.475	4650.774	2487.513	17685.564	13618.339	11889.256	14194.788	1896.075	1367.488	13785.330	2450.696	3320.366	3443.177	4445.914	5489.675	2194.292	3483.150	1957.875	7595.559	947.880
37	1476.361	25125.750	6923.960	10481.795	13957.581	5286.919	27390.257	12501.469	12589.567	16188.427	2956.930	2695.792	1155.790	3071.851	6312.798	3072.114	7334.469	1937.099	6340.147	9111.414	13695.392	10927.806	4467.741	2661.605	25227.522	24241.879	11592.616	19123.267	2090.416	1627.837	12826.511	2735.239	3370.332	3875.513	4836.963	5626.161	2088.575	3506.029	1843.216	8519.875	1176.623
38	1570.770	29167.203	7853.325	10444.452	12625.332	5061.020	30079.475	11745.143	9446.975	14035.423	2681.591	2488.302	1171.043	2505.396	5367.390	2941.151	6662.033	1777.734	5648.514	6568.413	11940.799	12656.101	5201.977	2549.313	25351.122	15996.190	10283.772	14808.316	1913.431	1784.835	12822.303	2633.729	3721.145	4616.324	6688.857	6953.939	2193.766	3175.202	2230.583	8137.497	1153.195
39	1402.990	31020.675	7114.356	11026.160	13153.393	5480.734	30644.352	10533.865	9399.902	14068.032	2710.782	2624.262	1222.850	2377.851	4974.500	3163.894	6562.627	3392.159	8883.412	7398.636	13253.062	13344.578	4567.673	2970.342	22719.234	18987.307	11257.055	17053.100	2289.753	1650.453	12622.702	2565.092	3553.365	4043.031	5719.781	5806.038	1987.065	3749.021	1903.175	8389.673	1187.158
40	1626.522	31976.864	7265.832	10137.819	12631.381	5458.381	27256.927	9814.619	8410.840	15813.683	2640.041	2598.490	1561.566	2678.435	6317.794	2762.063	7592.714	3493.932	9656.306	6098.996	15088.914	11196.044	4888.506	2942.729	19779.398	12614.813	10092.061	13046.887	2166.679	1794.039	13214.667	2845.953	3272.767	3993.065	6754.075	6175.786	2069.377	3726.931	1907.383	8034.956	1092.185
41	1475.309	29867.777	6862.686	10230.388	12988.243	5084.425	26562.664	8527.076	11200.252	19460.668	2359.180	3795.568	1492.140	2917.220	6089.792	3115.506	7234.274	2739.709	7903.291	6056.131	14483.538	11940.273	4960.562	2975.601	19012.290	13947.325	11033.524	14277.889	1785.098	1928.684	13162.860	2533.271	3682.750	3534.693	5161.741	5544.112	2243.995	3492.880	2184.562	8047.383	1085.819
42	1407.461	27517.276	7698.694	10072.075	12349.205	4918.223	25069.209	11015.378	14565.061	24237.672	2472.786	4472.474	1772.475	3537.060	6702.532	3280.130	7615.330	2080.422	6877.675	9034.362	19200.845	12134.351	4990.542	2527.749	23251.765	24511.432	12364.458	24997.153	1829.541	1765.111	11759.607	2668.705	3374.013	3456.063	4783.052	5394.477	2094.097	3464.215	1752.488	9051.671	1269.777
43	1346.187	29804.925	7134.079	9370.974	12191.155	5014.736	27837.583	10653.520	12848.075	21459.830	2055.440	3766.903	1858.732	2441.492	5478.893	3477.890	6701.480	1510.811	6260.728	6129.765	14192.947	10959.627	4764.644	1948.670	21775.667	18625.711	10044.462	16521.884	2054.914	1836.904	12614.550	2268.189	3906.019	3136.544	4961.877	5616.694	2016.519	3468.160	2140.119	8210.187	1174.600
44	1273.079	27098.088	6733.563	9910.080	12011.015	4947.151	26135.324	9682.866	9969.513	16488.223	1980.228	2809.662	1562.092	2659.764	5449.702	3284.075	6614.171	2029.931	6726.463	5099.152	13034.790	12414.687	4797.516	2844.638	23715.396	15780.811	11928.965	13803.213	1963.134	1609.165	12255.322	2141.171	3754.543	3797.672	5548.319	5192.509	2287.387	3646.985	2229.005	7825.881	1075.422
45	1673.858	32669.812	7125.664	10584.094	12091.223	5090.474	25504.965	10018.427	9083.539	16455.876	2069.903	2959.033	1492.666	2569.562	5208.814	3015.311	8014.794	1842.164	6078.484	5186.724	12808.102	10923.073	4814.872	2574.822	18638.071	14715.748	9659.461	13548.913	2055.177	1700.945	12288.457	2379.692	3544.949	3666.971	5313.742	5108.356	2147.745	3323.785	2299.221	7698.654	1089.771
46	1052.703	28131.593	7374.968	10220.394	13232.549	4911.648	24915.367	8997.282	8687.756	16036.689	2244.784	2803.087	1260.456	2695.529	5446.547	3025.304	8131.557	2357.339	6908.444	5165.949	13517.881	9996.863	4898.763	2619.791	17100.436	13733.786	9689.178	13808.209	1730.661	1456.112	12790.220	2669.231	3479.468	4354.660	5344.774	5462.062	2083.052	3438.180	2172.465	7537.070	1006.689
47	1101.354	26889.283	7086.217	9518.242	13309.076	4886.666	24740.223	7825.450	8124.456	16124.523	2242.154	2951.144	1766.426	2703.418	5322.684	3278.552	7597.447	2075.163	6911.863	5837.333	14585.048	10389.490	4496.668	2751.281	16779.603	11841.131	9959.520	15915.982	2093.571	1754.066	12686.606	2687.377	3060.806	3600.438	5062.598	5368.705	2034.138	3588.604	1937.625	7458.588	992.689
48	1171.043	25914.948	7342.095	10445.241	13682.243	5259.832	25012.143	8286.451	8042.933	14703.651	1949.459	2896.971	1414.561	2967.975	6097.681	3549.157	6408.785	1720.405	6415.096	5743.186	15434.994	12126.199	4961.877	2849.371	15929.130	13283.830	9810.937	11295.187	1771.160	1629.414	12700.807	2257.144	3645.670	3887.873	4997.116	6020.366	2280.286	3659.082	2419.139	7435.473	965.921
49	1180.510	24868.557	8519.450	10636.426	14305.502	5130.709	24207.955	8622.011	7943.264	15918.874	1897.127	3029.775	1256.511	2680.013	6232.852	3340.615	6018.788	1725.139	5660.874	5216.440	13296.979	12926.180	5334.781	2987.172	20271.431	13468.441	11284.668	14517.462	1546.050	1677.540	12869.113	2126.181	3139.700	3769.533	4846.167	5640.625	1932.103	3617.532	2375.221	7590.212	1001.458
50	1079.001	23994.153	8026.891	11012.485	12262.422	4926.375	24290.530	9177.422	7698.431	16917.403	1782.468	3162.053	1708.308	2197.974	5226.171	3264.877	5559.627	1621.262	4883.247	5620.375	11774.597	11530.816	5170.156	2597.701	20027.387	14218.193	10573.048	11363.299	1775.630	1870.040	12658.993	2173.254	2858.839	3593.600	4856.423	5201.977	1937.099	3322.207	2169.309	7284.206	975.568
51	883.082	28952.875	7907.762	10252.478	12794.690	5301.383	28422.711	8332.209	6984.971	15664.574	2045.972	2470.420	1340.664	1955.245	4042.768	2992.695	6222.596	1991.536	5175.942	5860.212	9684.707	10896.512	5523.336	2617.687	18549.448	16294.934	9514.034	13542.075	1688.585	1401.675	12586.674	2084.630	3259.092	3790.571	4944.521	5542.797	2046.498	3577.296	1934.732	7412.169	1080.027
52	847.580	27327.405	8602.288	10527.027	13243.332	5340.829	24497.494	8930.748	6982.078	16056.675	2019.674	2846.742	1182.088	2197.185	4478.523	2981.650	5290.074	1392.734	4963.981	6692.276	9154.543	12655.838	4644.725	2379.166	19258.701	12446.770	7511.453	10178.318	1912.379	1566.037	12129.092	2153.793	3729.823	3350.345	5094.155	6358.293	2039.135	3727.457	2656.345	7162.737	993.086
53	1004.841	23960.229	8583.091	10451.815	12668.461	6003.009	22834.419	7552.215	7510.401	16152.925	2264.770	2400.467	1434.547	2037.031	4162.949	3089.208	6730.144	2475.942	8162.588	6112.408	9375.445	11883.996	5434.713	2474.364	17513.576	14203.203	8845.017	10719.264	1824.281	2022.041	13276.993	2171.676	3492.617	4108.775	5179.361	5709.788	2191.662	3387.162	1736.447	7208.765	919.366
54	1215.223	24139.581	9218.184	10894.671	13522.352	5405.522	22426.539	7416.781	6911.074	14159.549	2309.740	2162.472	1263.874	2027.564	3818.973	2702.892	5865.997	2838.326	9055.400	5941.998	8484.211	10427.884	5066.543	2497.243	16651.006	12403.641	8537.332	10641.686	1889.237	2167.994	13244.121	2504.344	2957.719	3288.808	4613.168	5615.642	1985.487	3664.605	1720.668	6965.591	896.998
55	1022.986	24137.477	8684.337	10930.699	12779.701	4854.319	21899.530	7788.896	8007.957	14426.735	2347.346	2474.364	1476.361	1961.293	3979.653	3734.031	5259.832	3268.559	11113.732	5239.320	8490.259	9627.641	4862.209	2184.299	16447.987	12002.336	8626.219	10154.650	1754.855	1884.504	12437.040	2343.927	3369.806	4549.527	5422.353	4980.286	1879.507	3468.949	2008.892	6971.343	879.792
56	1255.459	25402.929	7238.219	10052.877	12202.200	5224.330	24684.209	7608.492	7276.351	15152.555	2879.351	2692.110	1434.810	1689.637	3407.675	3196.240	5803.671	4480.627	11943.429	5056.813	8874.471	10404.479	4780.422	2586.919	15928.342	13889.996	8072.912	11791.691	1731.976	1945.515	12535.131	2096.990	3354.816	4415.671	6922.908	6201.821	1911.590	3698.266	1727.505	7219.318	935.488
