 	0047-0077	0040-0085	0048-0088	0050-0097	0040-0094	0040-0072	0039-0067	0047-0061	0041-0055	0049-0052	0050-0044	0059-0043	0066-0050	0070-0042	0059-0099	0053-0106	0063-0108	0062-0117	0069-0123	0057-0066	0048-0070	0057-0088	0053-0081	0058-0077	0074-0082	0075-0092	0076-0099	0072-0108	0068-0073	0039-0208	0039-0217	0041-0225	0048-0238	0052-0227	0050-0219	0039-0199	0040-0185	0051-0187	0052-0178	0044-0175	0058-0158	0067-0154	0071-0160	0080-0165	0070-0168	0080-0176	0058-0218	0062-0227	0057-0054	0063-0059	0064-0081	0064-0091	Average	Err
42	14886.158	6236.271	9192.938	6010.372	4039.349	1497.662	1565.511	9747.559	2496.980	4280.763	5466.007	8619.645	8549.955	2394.419	7977.451	4214.230	3247.521	2483.042	2490.406	31418.035	2733.924	13769.551	4723.356	18798.225	11244.958	11621.544	5322.421	5887.824	15717.959	3212.282	3901.285	3263.300	1980.491	3030.564	3536.797	2855.420	1623.629	1366.436	2094.097	2335.512	3347.453	2788.886	5113.616	10221.972	10955.682	18966.532	4822.762	33284.130	9973.984	9021.739	14645.007	8172.581	7445.158	935.211
43	13182.584	5267.195	9040.410	5428.401	4249.732	1445.067	1598.909	10600.661	2718.145	4389.636	6591.029	9114.044	8307.226	2582.711	7318.427	3846.849	2895.656	2100.672	2902.756	28516.857	2750.229	14392.284	3768.218	16332.276	11011.434	10856.802	5134.128	6543.167	14638.958	3185.721	4361.498	3189.403	1938.677	3218.330	3528.645	2908.542	1420.084	1109.506	2084.104	2029.931	3315.895	2609.798	5019.207	10674.032	10030.261	19242.659	4858.264	30518.123	10038.676	8614.385	11635.218	8146.809	7138.504	858.614
44	12898.041	5454.962	9747.822	5313.742	4555.050	1560.514	1746.703	9394.116	2785.205	4087.737	5571.724	8195.723	7438.082	2595.071	6767.487	3666.708	2753.647	1987.854	2651.875	31152.953	2436.495	14021.222	4290.493	16602.092	9353.617	10547.014	5240.634	5752.917	13429.783	3083.159	4080.637	2957.719	1771.686	3359.287	3369.806	2831.752	1513.967	1361.702	2203.759	2665.287	3200.185	3041.609	5136.495	10131.771	9837.761	17862.285	5355.293	31589.234	10500.203	9412.788	12057.299	7902.239	7062.023	879.626
45	12786.275	5002.902	9041.988	5634.050	4397.789	1461.108	1551.047	9581.883	2434.391	4493.776	5243.527	7957.465	8205.454	2429.132	6852.429	3914.960	3232.268	2074.637	2886.451	29060.433	2367.858	12456.500	3873.147	15370.301	10059.189	10792.110	5072.065	5872.572	15145.718	3251.203	3641.989	2726.824	1766.163	3208.074	3514.707	3109.457	1293.328	1333.301	2549.050	2245.836	2980.861	2819.129	5043.664	11429.043	12073.866	20736.114	4930.583	29853.576	9203.457	8333.787	11962.890	8063.182	7025.414	859.742
46	11758.555	4687.591	8919.703	5468.900	4229.219	1483.987	1616.791	8574.938	2569.825	4478.786	5203.292	7953.520	7039.407	2499.610	7374.968	3704.577	2597.964	2250.833	2967.186	29038.080	2641.618	13730.368	4790.415	17348.688	10203.301	10989.343	5185.672	5547.004	15839.981	3055.810	4265.510	3734.557	1813.499	3290.386	3649.615	3080.004	1485.302	1361.176	2449.118	2304.480	3082.107	3173.887	5760.017	11239.436	11174.480	19224.250	4881.406	30277.498	8274.880	8140.235	14027.007	7671.081	7079.036	863.430
47	14287.619	5079.955	9519.557	5376.068	3741.657	1574.978	1826.648	8348.251	2315.525	4383.325	5703.740	7653.462	7423.356	2262.667	8002.171	4035.404	3020.307	2594.019	2673.176	34534.330	2258.459	15114.686	6763.280	17968.265	10542.017	11446.137	5667.974	6103.204	17733.952	3102.883	4277.607	3880.773	2040.187	3558.624	4114.561	2714.989	1441.648	1229.161	2058.595	1734.606	3242.787	3301.957	5147.540	10356.354	9535.336	18577.849	4816.713	31256.303	8708.005	9375.708	14488.009	7830.446	7398.939	944.772
48	12752.877	4826.706	8726.940	4821.710	3835.804	1658.868	2282.653	8810.304	2312.369	4417.512	5235.638	7919.859	6561.312	2559.043	6709.106	3779.000	3007.159	2127.759	2716.304	34113.564	2378.903	13736.153	6142.914	17923.822	11561.058	11281.775	5117.561	5789.733	14985.564	3313.528	4301.801	3771.111	1697.789	3554.154	3636.992	3148.641	1469.787	961.186	2024.408	1918.954	3200.448	2901.178	4650.511	9426.725	8821.349	18435.052	4276.556	31396.208	9516.138	9694.437	15313.235	7170.107	7167.159	929.489
49	12929.598	4262.355	9567.419	4732.560	3363.757	1472.942	2404.938	8693.279	2250.833	4301.275	5269.562	7584.298	6866.367	2435.443	6859.267	3559.676	3008.473	2243.995	2837.274	38773.542	2629.784	14262.373	5923.852	19586.372	11483.743	11535.813	4980.549	5975.922	19501.167	3037.138	3942.047	2893.815	1736.184	2949.040	3544.161	3106.827	1274.657	1071.637	1961.556	1634.674	3527.593	2544.842	4439.076	9631.323	9463.805	18946.282	4920.590	31336.512	10132.034	10469.172	13117.891	7382.068	7353.064	1011.380
50	13962.315	4902.444	10636.952	5802.356	4269.718	1708.045	2789.675	10235.384	2712.886	4471.423	5387.902	8254.893	8014.531	2438.336	7753.920	4205.025	3244.365	2484.094	2750.229	38406.161	2528.801	15319.546	5783.422	20518.893	12118.047	11621.807	5064.965	6177.627	18620.715	3304.587	5204.606	3441.073	1760.378	3205.444	4280.237	2878.299	1455.060	1155.264	2048.865	1708.834	3327.203	2975.864	4257.095	9227.388	10234.332	18786.128	4842.485	31325.204	10433.407	9318.904	14339.426	8469.484	7695.462	1006.429
51	11886.363	4606.856	9822.771	5827.339	4150.589	1541.317	1961.819	8797.681	2708.678	4025.937	5183.568	7798.363	7150.910	2405.464	8115.778	4013.577	2748.125	1948.933	2671.861	28355.914	1994.954	12230.602	4346.771	17076.505	10644.316	11286.772	5651.144	6312.272	15854.971	2838.063	4207.392	3701.159	1716.723	2985.594	3686.695	2842.534	1217.064	902.279	1715.145	1949.459	2971.919	2839.115	4408.834	9936.904	9980.295	17633.757	4766.484	28138.168	7708.687	7990.074	14126.939	9142.446	6894.728	831.830
52	13005.073	4904.022	9446.712	5626.161	4613.957	1257.300	1976.283	8563.104	2366.280	4071.169	5396.581	7935.901	8017.687	2707.363	7997.701	4595.811	3096.571	2518.545	2518.545	31410.935	2086.208	13504.732	5045.242	18051.104	10860.484	10746.614	5463.377	5961.458	15389.762	3112.350	3928.635	3155.478	1914.220	3154.163	3569.669	3035.034	1345.135	1049.547	1804.821	1715.408	2865.676	2724.720	4140.859	9855.117	10431.829	17743.945	4805.931	30797.143	10376.604	9276.828	11632.589	8029.784	7107.695	889.449
53	12337.897	5094.155	9701.012	5920.171	4399.103	1713.042	2319.470	9297.340	2474.890	4268.666	5027.622	7578.776	7906.710	2453.063	7033.096	4028.304	3011.629	2397.049	2546.157	37803.152	2544.316	13381.658	4943.995	16929.238	9878.259	11274.412	5561.994	6431.927	16248.912	3034.771	4080.637	3440.547	1785.624	3102.883	3101.568	2835.697	1410.879	1081.630	1965.238	1847.950	3098.412	2814.395	4183.987	9734.936	9033.573	19384.141	4935.842	33056.654	10617.492	10543.858	13423.209	7936.427	7326.084	986.171
54	14023.326	5212.759	10583.042	6481.630	4772.270	1517.912	2648.456	9662.091	2552.995	4089.052	5464.429	8280.928	9775.961	2452.800	8903.661	4687.328	3492.354	2648.193	3144.696	36404.895	2809.662	13999.658	4784.630	19468.031	13457.396	11607.606	5587.240	6862.949	20373.992	2887.503	4156.111	2799.143	1962.345	2956.930	3237.002	2996.376	1162.891	973.020	2176.936	1814.288	3129.444	2825.966	4827.758	10155.176	9392.012	17965.373	4373.858	28603.903	11927.913	9765.442	16365.412	10018.690	7735.066	973.042
55	13920.238	4751.758	9585.301	6127.924	3678.017	1945.252	2021.515	9723.628	2467.527	4410.149	5296.649	8425.041	7587.717	2545.894	10469.698	4962.403	3909.438	2572.455	2905.912	35548.638	2891.185	14329.959	5332.151	17083.606	12149.078	13808.209	6228.907	6540.011	16398.547	3204.129	3775.056	2777.841	1637.041	3193.873	3674.861	3050.024	1378.270	940.674	2108.561	1888.711	3148.641	2854.105	4368.072	9432.774	9955.575	19601.099	4800.146	26887.705	11475.328	11218.924	12283.723	11334.371	7550.121	923.920
56	14997.398	6808.775	10125.459	6003.272	3989.383	1963.923	2492.510	9387.805	2635.307	4110.616	5148.066	7699.483	8026.628	2479.887	8681.970	4744.394	3299.065	3050.024	2960.611	37232.751	2740.761	15811.053	5693.220	19951.386	13292.772	12679.243	5583.821	6328.576	19296.307	3009.262	3683.802	2890.922	2120.132	2791.779	3367.965	3098.675	1316.733	1235.999	1983.120	2153.268	3192.821	2885.925	4431.976	10350.832	10098.635	18891.057	4824.077	30047.391	9535.598	9558.741	12696.862	9296.288	7705.314	987.197
