 	0033-0090	0034-0100	0044-0097	0039-0114	0049-0112	0047-0122	0043-0085	0036-0075	0032-0083	0045-0061	0041-0068	0033-0068	0093-0099	0092-0107	0080-0045	0094-0062	0042-0038	0051-0043	0061-0043	0070-0037	0078-0031	0062-0035	0054-0035	0088-0045	0083-0037	0094-0070	0095-0077	0099-0084	0074-0051	0073-0042	0066-0050	0052-0055	0079-0059	0087-0054	0048-0075	0053-0080	0054-0088	0054-0070	0056-0063	0061-0055	0061-0067	Average	Err
22	20750.710	5790.036	14464.631	5371.939	13880.039	54571.628	35180.380	16920.202	34705.543	17461.236	12684.205	1677.835	19799.602	8085.131	5763.099	13332.987	6693.574	10161.005	10749.322	6717.646	11661.457	3092.891	3526.463	8374.275	4004.453	8912.443	19902.193	49130.627	3215.827	5208.883	7287.049	9835.181	6436.239	6186.641	12130.563	10997.773	15093.353	13177.956	8586.333	7016.819	6688.989	13054.321	1775.268
23	21078.253	5720.974	14693.882	5203.439	13752.231	55321.281	36083.918	15815.783	33879.950	19418.758	17907.417	1566.648	18581.703	7270.428	7216.554	13491.171	6848.892	11465.447	11656.872	6466.902	11872.655	3108.652	3428.744	10555.891	4440.317	8893.243	20171.563	47594.642	4516.830	6373.195	9802.513	11600.992	5413.204	7940.416	14282.376	11078.011	12302.788	14562.636	11022.418	12851.846	6546.566	13702.439	1743.273
24	20708.585	5706.646	15069.568	4548.066	13149.300	53341.120	35785.891	18201.719	35825.150	19206.414	20998.015	2025.438	18456.188	7326.309	7446.093	14346.280	7323.443	11051.934	14327.080	7330.034	11626.209	3212.675	4314.229	10868.819	4072.368	9281.825	19328.777	47800.395	3666.880	6309.291	11502.986	12607.693	4558.955	8072.523	16006.061	12251.493	12399.360	14144.825	10670.517	11362.856	5616.378	13947.522	1734.912
25	20388.493	4977.912	14852.353	4472.412	13558.514	55841.682	35392.438	18000.837	34016.355	19686.983	24195.789	2005.665	18174.782	7106.800	6779.830	13893.221	6967.530	11030.155	13472.544	7712.024	11473.757	3539.072	4148.881	9417.656	4436.592	8646.225	19166.868	47276.555	3771.762	6274.044	9443.447	11792.130	5236.680	7164.686	15429.780	13993.519	14693.882	16292.912	11005.797	10459.892	6766.361	13974.557	1761.731
26	19736.558	4871.883	15404.276	4894.522	13743.921	54539.533	35052.286	17737.771	34509.246	19717.932	25269.833	2172.446	19254.557	7868.775	5530.122	13704.662	6792.725	10712.928	14034.497	6759.197	11163.694	3768.323	3585.782	9360.917	4298.468	8895.536	19645.431	48240.845	3682.354	5359.616	9866.703	11379.191	4997.685	6381.505	14158.580	13914.713	17204.761	14920.268	10734.707	11303.824	5402.028	13916.405	1773.674
27	20248.936	5274.507	16270.560	4554.657	13082.817	55186.882	33712.023	17451.493	33751.569	20236.900	23659.627	2234.344	19301.267	7972.798	6785.561	13230.111	6693.001	10709.489	12102.193	6858.349	11529.064	2961.071	3565.436	8702.391	4187.281	9596.473	20618.031	46833.526	3642.235	5728.138	8064.212	10775.113	4567.552	6710.768	11525.052	10871.685	15415.738	12350.358	8288.592	9578.133	5661.369	13426.568	1758.573
28	18984.900	5408.905	15446.974	5286.256	13712.972	55232.446	32792.438	17567.838	33319.717	18865.116	24838.553	2222.021	19467.188	7857.886	6703.604	13642.191	6584.393	9928.601	12705.984	7267.563	11886.983	3198.060	3691.811	8525.008	4293.310	9589.022	20170.704	49344.978	4083.544	5966.560	8416.687	10609.765	4167.221	6697.586	11937.132	10819.244	13622.131	12070.098	8397.773	8673.162	5789.750	13409.416	1772.364
29	19435.952	6098.380	15562.459	4590.477	13896.946	53201.850	32435.665	18342.995	32652.594	18289.407	26451.911	1913.391	17560.960	7625.482	8266.527	13308.056	6556.596	10878.849	14561.776	7243.491	11457.996	3131.864	3666.880	10045.806	4367.816	9330.827	20482.486	47986.662	4751.240	6287.226	11740.262	12240.604	4627.730	6882.420	13349.322	11524.479	14879.863	12687.071	10033.770	13639.038	5945.641	13852.019	1704.357
30	19982.431	5353.598	15295.668	5363.628	13766.560	54916.079	33664.454	18581.703	34215.231	18643.888	22856.100	2294.522	19820.235	7426.893	7700.275	13895.227	6974.407	11400.683	14480.965	7155.803	12652.970	3029.560	4342.312	9538.587	3980.381	9857.820	20982.254	49135.499	4836.349	6119.012	10507.461	11094.919	4324.259	6918.241	12272.412	10494.852	12266.681	11693.838	9744.340	11505.566	5670.252	13774.534	1758.159
31	18982.034	5265.050	14877.284	5251.008	13841.066	55683.785	33617.171	20539.512	32803.041	21696.086	26267.650	2189.926	18611.219	8154.480	7236.327	13783.753	7056.651	13238.994	19153.113	7869.921	11721.349	4482.729	4385.870	9734.310	4071.795	9309.908	20909.180	48915.991	4717.712	6371.189	13970.880	14959.528	4472.126	6880.987	14363.474	11966.075	16071.971	14753.201	13604.937	15616.334	7738.102	14759.408	1753.477
