 	0034-0068	0036-0061	0052-0084	0061-0080	0083-0076	0085-0067	0095-0048	0091-0040	0094-0029	0084-0033	0078-0027	0072-0023	0067-0021	0060-0019	0051-0020	0051-0027	0042-0030	0032-0029	0038-0038	0048-0038	0036-0046	0028-0045	0034-0077	0021-0058	0058-0031	0053-0035	0044-0046	0043-0055	0034-0053	0054-0046	0050-0053	0049-0077	0042-0080	0041-0071	0096-0058	0094-0066	0044-0156	0035-0165	0029-0172	0031-0182	0051-0151	0056-0146	0077-0212	0068-0202	0085-0205	0094-0210	0085-0215	0082-0222	0074-0225	0069-0232	0071-0238	0080-0232	0089-0230	0096-0226	0059-0202	0062-0192	0060-0209	0068-0212	0093-0200	0057-0156	0061-0164	0066-0174	Average	Err
24	14722.585	12406.797	11222.605	7094.107	4915.593	5569.358	12035.209	9524.290	13470.808	6938.160	6425.878	2420.454	6547.900	7094.633	5874.150	7773.906	9350.462	18600.203	9515.875	8730.884	6631.790	11434.829	5256.150	9828.293	10224.865	5393.688	7633.738	6044.560	4173.731	9896.142	7003.905	4335.463	6566.835	5409.730	6829.287	2172.465	18725.906	6862.686	3428.713	8739.826	9946.634	9210.031	5447.336	5391.321	5500.194	7930.641	6669.659	10816.567	2797.302	4235.531	4114.035	4460.640	6747.764	10861.010	4931.372	5504.402	6070.331	5476.526	3841.589	8750.608	8264.098	9649.468	7636.186	428.297
25	14080.918	11743.303	10430.251	6665.452	4613.168	4794.097	11064.029	8925.751	13200.466	7094.633	6620.482	2413.090	6984.708	6717.521	5413.411	6903.710	8971.510	18035.588	8492.100	8219.128	6390.902	12012.592	4881.143	9114.307	9040.673	4431.187	7566.679	5979.604	4528.226	9745.192	6530.544	4200.029	6498.723	5450.754	6285.185	1958.926	17314.501	6896.084	2927.213	5940.946	14096.960	12677.139	4887.717	6257.046	5100.730	8008.220	5199.084	11028.527	2723.142	7149.069	3808.980	4154.534	6341.988	10879.418	3904.178	7587.454	5068.384	7199.561	3602.279	10112.573	6865.315	6717.521	7458.815	430.880
26	15724.796	12009.437	10579.360	7515.661	4125.869	4527.700	12321.855	10024.475	13405.326	8009.798	7857.007	2173.517	5272.981	6778.269	5622.479	7596.132	9107.996	17301.352	8719.050	9163.484	6169.211	10555.955	4978.708	9349.147	10664.302	5573.302	8225.703	6223.911	4449.595	11120.044	7908.551	4382.273	6535.540	5491.779	5526.229	1142.115	15477.071	6680.704	2722.353	4492.198	10784.483	9963.201	5598.811	5697.428	4562.939	7354.192	5686.383	9320.482	2643.722	5768.958	4207.918	4418.301	6214.970	10716.109	5147.014	13495.265	5454.962	7245.582	4059.598	7598.236	7143.810	6665.978	7504.090	424.796
27	15859.178	11823.511	9639.738	6934.216	3648.037	5214.074	11912.135	9172.951	13468.704	7502.775	6708.054	2283.442	4733.612	7048.348	7469.903	8314.327	9647.364	17726.325	9288.925	9163.221	6221.018	11023.268	4769.377	8564.419	12896.989	5067.069	8539.699	5645.621	4476.419	11545.017	8298.811	4317.317	6131.605	5416.041	6918.174	1859.258	14482.749	6851.640	2456.219	6576.302	12201.148	11572.104	5348.982	6701.743	4394.633	7726.833	5128.869	9961.624	2628.207	4550.316	3874.987	4606.593	6585.506	10553.325	4166.893	15662.207	5824.184	5374.228	4415.934	10348.465	8855.799	7546.430	7703.949	446.583
28	11433.777	10026.316	10420.258	7004.694	3699.581	5089.422	11776.175	8888.934	12663.990	6629.950	6689.646	2476.468	4606.593	6586.821	6802.463	8708.268	9101.684	17805.745	9148.494	8356.140	6545.271	10778.698	5228.275	9619.489	11606.554	4120.609	7180.364	5636.943	4582.399	10006.856	6959.725	3782.419	6319.635	5444.706	6662.559	2136.963	13849.234	6935.531	2744.443	7212.973	17319.235	18205.735	5399.473	8099.736	4236.057	6741.190	4904.811	9637.371	2717.093	4259.725	3989.383	4738.872	5747.394	11289.139	3900.496	10342.942	6688.331	5583.558	3667.760	12164.068	8989.655	10679.555	7654.365	459.049
29	8871.578	10543.595	10165.432	7326.580	4995.013	6004.061	12351.309	9621.592	12838.345	6355.400	6840.332	2845.164	4933.739	6538.959	5937.790	7678.445	9021.739	17689.508	9062.237	8473.692	6272.299	12143.293	5112.827	11018.534	9490.366	4952.410	8236.222	6681.230	4760.962	9848.543	6417.989	4072.747	6195.246	5163.582	6300.438	2711.571	13298.820	6675.182	3281.182	9236.592	11909.242	12012.855	5460.747	6038.774	4231.323	7847.540	5191.720	9787.532	2615.847	3985.701	4159.530	4685.750	6048.767	10548.328	4225.012	15444.461	5748.709	6322.528	4191.613	10590.405	6735.404	7820.979	7509.150	403.312
30	7729.988	12447.559	10264.312	7047.559	4806.457	4913.226	11991.554	9627.378	13234.127	6691.487	7265.306	1515.808	2209.282	7058.079	5727.145	7957.991	11300.973	19025.176	10291.662	10202.249	6586.821	10663.776	5572.776	17994.300	9220.287	4934.002	12162.227	9273.672	5816.820	15677.197	11519.508	4846.693	6126.346	4659.715	6561.312	1541.317	14838.296	7477.003	2946.936	5642.729	11856.646	12576.155	4499.824	2412.038	4514.814	9266.309	5771.851	10598.031	2062.803	2128.548	1683.588	5153.326	6469.796	11048.776	4079.059	8351.670	4946.362	2850.949	3980.968	10486.529	8372.971	9031.206	7701.795	507.187
31	7110.674	12554.854	12288.983	5815.768	4632.891	6193.668	11992.080	8850.540	13464.759	7800.730	6670.711	3672.757	2674.754	6511.609	5452.332	7822.031	12558.010	19767.038	11401.957	10571.208	6530.018	10732.676	5369.231	13547.598	8179.419	4335.463	12825.722	7942.738	4577.140	14098.800	12226.394	4680.227	6429.823	4591.867	6579.721	2131.177	14009.914	7309.486	5512.554	4398.052	15440.780	16266.006	5669.552	2400.467	4092.208	8776.643	6444.550	11009.067	2823.074	4132.706	5486.256	4833.281	6642.047	11057.192	3815.554	4460.377	5284.026	2807.821	3927.320	11774.597	8390.327	4049.605	7796.755	503.519
32	7896.980	14752.039	14343.633	9764.127	5377.909	6569.465	12274.519	9738.355	13130.514	7229.015	7241.375	3725.879	5040.508	6672.552	10105.736	9089.587	12352.624	21696.248	12338.686	9807.255	6540.537	16854.289	5395.529	12042.572	8499.463	5548.056	15667.204	12404.956	6706.739	15751.883	16962.110	4999.220	7316.060	4928.216	7648.991	2159.316	13868.168	7508.035	5236.164	5715.574	12976.671	11937.381	5632.472	5553.053	4043.557	7926.433	5934.109	10412.632	2521.174	6719.099	5277.188	5415.252	6418.252	10665.091	3067.907	7548.796	5722.411	6178.942	4032.512	11884.785	14597.408	11065.607	8813.400	522.466
33	11399.327	16886.898	15138.091	8944.686	5896.240	5805.775	11399.064	9835.131	12425.206	7731.566	7083.324	4455.381	5783.159	6475.844	9561.107	10144.394	12818.621	22681.365	12321.066	10595.928	7429.141	25257.239	4806.983	11774.071	9913.236	5313.742	15181.483	10264.575	7125.664	14292.879	14906.933	4694.428	6783.792	4821.710	7279.506	2048.602	12998.762	10453.130	6132.920	6669.922	11384.600	9755.448	5799.727	5608.541	4148.748	7347.618	5680.071	10646.419	2940.362	7827.553	7260.309	5292.967	6603.915	10714.005	4068.803	6123.979	5493.620	5990.649	4236.583	11399.327	17417.326	14014.384	9117.514	570.014
34	10123.355	18641.227	17359.207	7602.444	5345.563	6105.308	12844.130	9456.968	12889.363	6639.680	6149.225	3495.247	5262.199	6531.859	12261.896	10726.891	13101.060	21129.003	12454.133	9694.700	8059.237	20259.597	5102.308	11120.833	9075.386	6408.259	14064.613	12039.942	6868.471	15440.517	15282.466	5253.783	6829.287	4785.945	6013.002	1782.205	15086.811	10695.333	8163.640	6789.841	11614.180	10000.018	5408.152	5210.129	4965.822	8501.041	6345.144	12237.965	3114.717	6728.304	6141.336	5396.844	6289.393	10426.569	3371.910	5699.006	5032.882	5254.309	4378.854	15763.191	15408.959	10529.394	9108.920	561.285
35	11387.493	18152.613	15081.025	8019.265	5867.049	6489.782	12361.039	10383.704	13729.842	6565.257	7071.490	3689.325	5512.028	6803.252	10960.416	9773.068	13976.778	21074.567	12704.226	10029.998	9261.838	16756.198	5638.521	11356.198	9422.781	4939.524	13131.829	9858.010	8481.055	16665.207	13961.789	5114.142	6588.399	5069.698	6540.274	2570.877	18159.714	8209.661	4920.064	4245.261	12120.940	9843.283	6070.331	5171.997	4470.634	10589.090	7173.263	14336.007	3237.002	6258.887	5506.506	5736.612	6817.190	10692.967	4122.187	6289.918	4934.002	5888.613	4325.469	20970.427	19415.436	11520.823	9290.562	585.620
36	8592.558	18608.092	14441.987	8148.124	6182.097	5972.241	12200.885	10421.047	13605.716	6980.237	7014.950	4975.026	7324.739	7164.848	11803.262	10302.970	12187.210	20387.141	10949.371	9340.468	8544.433	17586.421	4952.147	13027.426	8855.799	5081.007	13913.664	10942.270	6351.981	12996.658	13157.075	4658.663	6677.286	4272.348	6873.994	1644.141	16213.147	13381.921	4903.759	5204.343	11288.613	9461.702	6252.576	5267.984	4573.984	11267.838	6475.844	12353.939	3453.959	6897.136	5449.176	5432.872	6872.942	11307.021	3670.916	6984.445	5462.851	6942.368	3993.328	18849.506	20136.786	12106.476	9199.092	558.024
37	9026.209	16509.524	15096.804	7487.522	5900.710	5725.041	13141.822	10146.497	12933.806	7403.106	7026.258	4074.325	6497.146	8507.090	12526.189	11059.822	12214.297	20577.800	11449.293	9532.180	7768.646	16556.334	5383.169	11756.451	8723.784	4961.351	15300.086	9748.611	6050.345	13029.267	15194.895	4487.990	6804.304	4497.457	7494.097	1819.022	14635.014	13601.771	3869.465	4082.740	10824.719	9499.307	5607.752	5153.852	5286.393	10443.663	6384.591	13487.376	2976.653	6094.000	5033.670	6150.277	7835.969	11176.321	4590.289	5851.796	5163.845	6359.345	3774.530	12821.777	17546.711	10189.100	8949.229	527.915
38	9670.769	16160.289	13746.935	7928.800	7463.328	5435.764	13006.914	10227.758	12886.207	7508.298	7847.803	3553.628	5398.948	8053.189	11129.511	10798.421	13705.385	20369.522	12065.451	9492.996	6764.858	13253.325	5366.601	10627.485	12178.795	5935.161	12149.341	9228.703	5613.275	11377.500	9138.501	4215.282	6705.424	5180.149	5900.184	1716.197	23329.344	10702.960	3456.063	4257.621	10172.795	9711.794	6287.289	5814.979	5037.615	10176.477	7084.639	13704.859	3726.142	5812.087	6287.552	7676.867	8066.864	11581.571	3603.594	5699.532	6527.914	5791.048	3999.902	21182.651	18779.554	12397.330	9075.318	569.107
39	10174.373	16776.447	12747.617	7847.014	7407.051	5373.176	13262.003	9855.380	12473.857	7542.748	8262.783	3550.472	5363.971	7262.939	8849.488	8208.872	12202.726	20060.522	12099.375	8875.523	7170.107	15098.119	4910.071	9797.525	11041.150	4292.071	13096.853	10180.948	7238.219	13134.722	12496.210	4322.577	6533.174	4618.953	7061.234	1638.882	22468.879	9518.242	4888.243	3465.530	9988.184	8802.415	6200.243	5538.852	4659.978	8552.848	5573.039	13504.995	3673.020	5769.747	5848.115	7405.210	8172.581	10780.275	3409.516	5912.281	5965.403	6264.936	3822.918	17208.521	17508.842	10099.687	8803.704	543.246
40	8833.972	15249.068	15680.616	7553.267	8471.325	5449.702	12761.818	10559.111	13411.112	7148.806	7353.403	3010.051	5329.521	8284.347	10140.186	9528.498	12175.639	19324.708	10919.654	9475.639	6973.399	14476.175	4937.683	11272.045	9561.633	4521.388	9347.569	8266.727	6077.695	14223.452	10802.892	5497.564	6637.839	5015.262	6413.781	1633.622	25931.779	8134.449	4755.439	2965.345	10424.203	8776.380	7039.933	7808.619	5165.949	8848.173	5903.077	12508.307	3257.251	5513.080	5019.996	6540.274	8413.469	11383.548	4697.847	10242.485	6365.393	5413.411	3756.647	17539.610	14054.094	12067.292	8852.342	548.436
41	8223.599	17738.422	14181.902	7916.440	6683.860	4759.647	12704.752	9357.562	12982.983	7100.155	7065.442	2758.907	5454.699	9350.725	13593.882	12260.581	12562.480	21607.887	11475.328	10661.672	6639.154	13278.571	4968.452	11560.007	9891.408	4536.378	12212.719	8465.539	6122.138	14090.122	10840.498	4805.405	6794.311	4553.735	6050.608	1684.640	32720.304	9552.955	2941.940	2322.363	10965.938	9915.076	6839.017	6026.940	5022.625	9384.386	6193.931	12158.546	2693.951	4749.128	4318.895	6482.945	7734.985	11919.235	4430.398	8420.307	5224.856	6482.419	4292.071	17605.355	18672.522	12012.329	9097.065	661.469
42	14942.172	22167.505	13102.638	7714.473	7626.375	4993.172	12269.785	10957.523	13944.695	7135.394	7217.180	2366.806	4229.745	7988.233	9026.998	9466.172	12267.156	22615.883	10946.215	10579.886	8489.207	17524.884	4914.804	10611.969	10631.956	5337.148	11779.331	10498.626	6741.452	14740.731	13054.513	4425.138	6433.768	4822.762	6414.833	1513.441	25172.034	8924.174	2719.197	2447.014	9655.780	8294.340	6233.904	5550.949	4486.938	8609.125	5445.495	12600.086	3059.754	7061.234	4266.825	5856.004	7427.300	10787.376	4226.853	6673.341	4916.645	5772.377	3993.854	11301.236	10863.640	9410.158	8794.326	606.877
