 	0033-0090	0034-0100	0044-0097	0039-0114	0049-0112	0047-0122	0043-0085	0036-0075	0032-0083	0045-0061	0041-0068	0033-0068	0093-0099	0092-0107	0080-0045	0094-0062	0042-0038	0051-0043	0061-0043	0070-0037	0078-0031	0062-0035	0054-0035	0088-0045	0083-0037	0094-0070	0095-0077	0099-0084	0074-0051	0073-0042	0066-0050	0052-0055	0079-0059	0087-0054	0048-0075	0053-0080	0054-0088	0054-0070	0056-0063	0061-0055	0061-0067	Average	Err
33	12465.557	9551.195	24294.940	6709.049	11926.815	14922.561	15225.173	9050.281	4864.719	5686.300	12913.457	7989.419	7878.232	6062.846	4884.492	4260.641	5898.358	8519.563	7328.028	11340.218	17586.751	3091.171	5673.978	5293.993	3806.723	2678.232	5492.582	5173.063	2793.144	2768.786	3355.384	5822.991	2069.569	4128.248	13151.879	13202.887	15392.527	13310.635	9864.697	7571.608	7087.314	8319.220	750.139
34	17908.563	8363.672	26159.902	6662.912	11338.498	13218.935	15661.324	8350.777	3944.847	6196.098	14970.131	7847.856	7477.328	5955.670	5431.831	4663.264	5427.532	9468.951	7446.666	8492.340	14626.540	2700.297	7079.003	5047.547	3544.803	2806.326	5700.055	4971.035	3008.641	2102.810	4417.965	7483.919	2444.968	4222.815	13406.635	13384.283	15268.444	17848.098	9707.373	8399.206	8918.748	8587.234	803.574
35	16549.961	8449.068	24897.012	6956.640	12477.019	14740.019	16721.040	8583.181	5237.826	6182.916	15771.078	7311.694	7862.184	5519.519	4620.853	4552.651	7407.120	12797.398	7720.048	6314.163	17112.774	2177.317	6809.060	5251.008	3508.409	2650.722	5245.564	5354.745	3008.354	2000.507	3536.779	8317.822	2177.031	4717.998	13637.606	17180.116	15878.827	14651.757	15164.708	11601.278	5484.272	8930.196	845.524
36	17719.144	6511.892	27159.726	7169.844	11772.930	11847.150	18546.456	5790.036	4383.291	6330.497	8927.918	3537.926	10248.407	5457.621	4536.316	4318.241	8519.563	11696.991	6579.808	6249.972	14719.100	2201.389	5761.093	5475.961	3696.969	2667.343	4855.549	5022.616	2793.144	1890.753	2996.032	7588.515	2133.473	4679.026	11775.223	15274.749	15883.412	12918.042	11805.312	8453.653	5218.626	8173.505	833.554
37	16756.860	6691.282	22966.714	7113.391	11624.776	13211.771	18868.268	7514.295	6425.350	6980.425	7337.485	1564.929	12356.089	5493.155	4619.134	4604.519	7535.787	9475.256	6194.092	6955.781	12942.687	2217.723	6276.623	4845.233	3604.695	2302.546	5126.066	4931.489	3147.338	2089.915	3387.193	5915.265	2356.707	4000.154	15645.850	12297.630	12035.423	16697.255	11218.714	8130.122	8490.907	8096.314	776.458
38	19705.036	6757.191	26909.268	7023.410	11227.598	25857.863	18072.765	6652.022	5491.722	7455.836	8097.167	1745.464	9795.348	5332.966	4295.889	4182.123	9390.719	9238.554	6724.236	7061.523	10892.031	2281.627	5587.435	4555.230	3461.126	2185.341	5619.244	4703.383	2975.113	2089.342	3167.684	7585.936	1987.325	3719.321	11308.409	13698.357	12589.639	14627.973	12174.694	10283.368	4513.105	8317.619	921.341
39	17006.745	5858.812	22845.783	6911.363	10133.781	18493.155	16108.651	5342.709	4044.572	6090.069	8005.753	2829.825	8491.480	5296.285	4344.318	4280.987	8623.300	9970.439	6917.094	6818.516	18758.514	2450.413	5650.766	4595.635	4325.118	2474.198	5216.621	5221.492	2692.274	2058.393	3517.580	6755.472	2484.801	3091.458	9313.060	9722.561	10835.578	10069.018	7533.495	7467.585	5126.926	7506.697	756.076
40	22134.817	7669.326	27752.055	6805.907	10835.005	14802.490	17767.860	5656.497	6300.981	6082.905	7610.294	1954.083	9725.713	5935.611	4270.098	4435.732	7138.895	8112.928	5919.850	7114.251	16938.256	1954.083	4225.394	4436.592	4015.056	2533.230	5027.775	4751.526	2931.268	1999.361	3374.870	5079.070	2265.579	3085.727	9350.027	9841.199	11341.077	9958.690	7826.364	6338.521	5239.259	7574.103	848.438
41	25254.931	6886.145	28758.183	7167.552	11783.820	12574.165	17924.038	6742.290	7980.535	6558.889	11315.287	1874.992	10249.267	5517.513	4499.923	4062.912	7315.419	7779.080	5929.020	6519.916	15050.082	2029.737	4744.935	4460.377	3582.916	2124.016	5352.452	4891.656	2974.253	1910.526	2876.821	5189.970	1975.003	2818.076	10875.410	11897.872	12577.603	9516.235	8628.171	7149.498	5267.629	7867.978	898.089
42	14398.434	5575.972	19526.793	6682.398	10329.505	11524.479	14843.469	6717.646	5923.575	6422.771	10050.391	2200.529	14812.234	6211.573	4900.540	4199.603	6063.705	6187.215	5735.875	6387.237	14885.307	2220.875	4783.622	3929.086	3189.463	2228.899	5036.085	4745.795	2890.003	1599.603	3208.950	4798.523	2252.970	2648.143	13974.319	10006.260	9352.320	16360.255	8711.275	6223.895	7845.563	7306.955	699.166
43	15143.789	6599.294	19816.796	7028.568	10030.618	11069.414	14217.899	5845.343	4924.038	6035.335	10156.706	3586.068	14254.866	5710.085	4707.395	4254.623	5254.734	6778.684	6061.413	8421.845	16094.037	2550.138	5493.442	4577.582	3855.439	2236.636	5137.815	4931.775	2646.710	2645.850	2963.364	5038.091	2301.113	2701.157	10665.072	10489.121	11347.668	12996.561	6724.523	6262.868	6741.430	7275.559	662.362
44	34905.278	7642.962	38111.649	6627.664	10430.089	13371.387	19801.035	5797.487	5712.950	5915.838	10429.516	3245.343	11869.216	5892.340	6953.775	4478.144	5392.285	7187.038	6224.755	11105.235	15574.495	2567.618	5594.599	4182.696	4000.441	2726.375	5083.368	5163.606	2941.871	2569.051	3755.428	4913.435	2108.255	3564.863	12201.344	12371.564	17048.297	11720.202	7117.690	7395.657	5799.493	8768.154	1175.198
45	41290.222	6858.349	36731.840	6653.168	9971.586	11602.711	20428.325	4849.245	6199.823	5491.149	8588.912	1830.001	15801.741	6018.428	5987.193	4279.841	5058.437	6063.705	6087.204	12679.907	14274.352	2386.509	5840.758	4621.713	3973.217	2461.876	5298.578	5410.338	2781.968	3309.247	3927.653	4481.869	1893.905	2916.367	10294.544	11272.015	12897.696	10491.700	6937.154	7782.233	5139.535	8557.683	1248.120
46	35052.572	7685.947	36663.065	6612.190	10406.877	11413.865	19759.483	5757.941	4992.241	5532.988	8790.367	2612.609	11305.257	5983.754	5091.965	4050.016	5163.893	7453.830	6623.079	12045.453	13295.734	2523.201	5910.680	4724.303	3532.767	2430.640	5069.613	4659.253	2777.670	2879.687	3563.143	6076.028	2147.228	3365.127	10646.445	13164.488	14611.065	14631.984	6577.802	7778.794	7687.093	8562.198	1147.555
47	32213.291	6000.661	33312.266	7113.678	10170.175	12241.463	17014.482	4857.842	4787.347	6002.667	8769.734	2895.448	11030.155	5394.291	4493.045	4038.267	6203.835	6913.083	5759.087	10897.189	13141.562	2170.440	4346.324	4898.534	3508.696	2304.838	5064.455	4989.375	2731.820	2523.201	3084.581	4951.835	2120.291	3273.140	9203.306	11166.560	11776.369	8913.016	7351.240	6553.444	4649.223	7776.348	1031.454
48	19541.121	6061.986	24501.840	9385.275	14163.165	11430.772	13093.420	4717.712	3892.119	6138.212	7137.749	1828.855	13430.993	6518.197	5818.693	4551.791	5964.554	6528.226	6258.569	9161.754	12026.540	2181.329	4562.394	5161.027	3505.830	3270.274	5363.628	4597.641	2703.450	2156.111	3222.418	5256.166	2260.994	4720.291	9593.607	7626.055	11456.563	11154.811	6629.670	6967.530	5517.227	7318.501	730.809
49	24249.949	5483.126	30466.107	7602.557	12436.614	12919.188	21398.919	5879.731	6346.544	6842.588	15656.739	1330.806	11627.355	6060.553	8344.186	5445.872	6435.093	7149.785	11030.728	7968.500	19498.996	2381.924	4711.407	5837.319	3980.954	3202.932	5471.663	4877.901	3488.636	2810.911	3894.412	4799.383	2587.104	8447.922	16532.194	10244.968	15156.971	15178.750	8344.186	7569.888	7094.764	9043.613	982.238
50	17081.251	5717.249	22806.237	7048.054	15352.121	12721.745	22668.973	4955.847	5625.548	6864.367	9255.747	1389.838	9073.779	6484.095	5581.704	4725.736	6182.056	8099.460	14739.446	8424.424	22870.714	2723.223	4607.671	5270.781	4234.564	2777.383	5480.546	5256.740	3655.417	4835.203	10046.952	7258.679	2718.924	5512.069	11692.119	13029.516	11327.322	12782.210	8937.374	13104.022	5528.403	8742.622	846.314
51	15238.068	6158.558	21802.402	6933.715	15953.047	13909.269	19852.617	7187.611	4385.583	5471.950	6496.991	1194.114	8364.818	5997.222	6111.275	4589.904	6524.214	8520.136	13314.074	6325.339	16392.637	2463.595	4919.740	4842.367	4282.134	2459.010	5816.973	5347.867	4464.675	3497.520	6015.276	5768.544	2745.575	4147.448	11163.694	12875.057	14025.614	11629.361	11768.059	8755.692	6047.085	8140.459	759.492
52	12338.035	5716.389	22452.330	9839.479	17065.204	14828.281	17584.459	9268.356	3459.120	5420.081	6825.394	1343.128	11612.741	6031.323	5207.737	4914.008	5873.426	7031.147	8632.183	7218.847	13992.946	2050.656	4366.384	5277.086	3849.708	2542.974	5193.982	5176.215	3827.069	2426.915	3822.198	4422.837	2294.236	3282.883	10991.182	9752.077	19953.774	10359.307	7080.436	6166.009	5980.028	7694.404	781.057
53	12161.225	8855.990	23844.174	14594.731	19630.816	16149.344	17577.295	7201.940	3769.756	6351.989	8045.012	970.594	12811.440	5720.401	6505.588	6092.075	5500.033	8788.647	7475.322	8096.307	16537.925	2185.628	5943.635	5421.228	3621.316	4252.904	5660.509	5106.293	3381.461	3642.522	6670.362	5983.467	2339.799	3403.813	13101.443	10400.859	17967.882	13136.404	8070.803	8530.453	7329.174	8605.623	818.152
54	13663.970	14294.411	27808.508	17426.562	18118.902	18469.083	17718.857	5276.799	4631.456	5584.569	6473.493	1141.960	11218.141	6051.383	5404.034	5499.746	5084.514	6748.021	7679.929	9399.030	22887.049	2164.708	4868.445	5161.314	3807.296	4760.983	6716.213	5317.205	3258.812	5203.725	9389.287	4206.481	3044.175	4398.192	8589.485	8112.642	10110.569	11781.241	6101.532	9165.480	5625.835	8594.245	906.864
55	12313.391	13981.770	25446.643	11543.965	15190.212	19028.744	16980.954	5552.188	4908.277	7155.516	6596.142	1247.129	9822.572	6754.039	6823.388	4869.591	4718.571	6815.937	8778.044	8499.790	21094.014	2309.137	5521.812	4800.529	3896.991	3541.651	5487.424	4876.755	3318.990	4811.418	6796.164	5415.210	2319.740	3841.684	9712.818	11312.421	10677.108	10771.387	7080.436	7926.948	6750.027	8275.354	812.258
56	15798.302	18280.237	33556.705	10233.506	13686.895	18039.523	19479.796	6587.259	7936.978	7477.041	7926.948	2499.416	9282.398	5628.414	4991.667	4444.616	5227.223	7294.213	11322.737	8126.110	16401.234	2667.916	5626.121	4984.503	3454.249	2690.841	5539.292	4943.525	3233.594	5794.048	8047.018	6545.707	2634.388	5049.553	11540.240	13191.711	13198.589	14728.270	6363.738	10346.412	8001.168	9092.734	940.364
