 	0033-0090	0034-0100	0044-0097	0039-0114	0049-0112	0047-0122	0043-0085	0036-0075	0032-0083	0045-0061	0041-0068	0033-0068	0093-0099	0092-0107	0080-0045	0094-0062	0042-0038	0051-0043	0061-0043	0070-0037	0078-0031	0062-0035	0054-0035	0088-0045	0083-0037	0094-0070	0095-0077	0099-0084	0074-0051	0073-0042	0066-0050	0052-0055	0079-0059	0087-0054	0048-0075	0053-0080	0054-0088	0054-0070	0056-0063	0061-0055	0061-0067	Average	Err
29	17227.399	4773.019	13633.021	5209.456	13329.549	50980.688	30021.646	18830.155	20260.971	23424.071	20531.775	2558.161	17638.333	7376.171	7049.201	14643.734	7229.163	13923.884	23187.368	9082.949	12593.078	5235.534	5424.380	10512.046	3944.561	10163.297	22230.529	54115.131	4852.970	6882.420	20546.390	17610.536	5225.217	9276.094	19965.237	12434.894	11730.519	20515.441	17123.090	16888.680	9051.714	15054.450	1674.304
30	17463.815	4856.122	14506.469	5150.997	13940.218	52169.358	28712.332	18728.711	21452.507	23976.280	22440.295	2665.337	18774.275	7989.992	7213.116	14777.273	7292.494	16278.298	35987.059	10390.256	13093.706	11143.348	6744.009	10577.096	4901.400	10459.892	22654.931	55619.595	9245.145	7287.336	30676.159	20216.267	5190.257	11822.506	16065.667	13270.803	13584.305	17081.251	19177.757	29286.321	7276.160	16588.759	1786.458
31	18376.523	6209.280	14510.481	5330.100	14232.514	50574.053	27643.733	15785.693	21103.758	29037.296	18544.450	2189.926	18280.524	8121.239	7011.947	14714.515	9081.803	16242.764	27616.509	9425.107	12645.233	9689.033	7285.043	9448.605	4964.157	10072.170	22838.333	54119.716	4648.077	6613.336	15416.025	19397.266	4296.748	10818.957	13245.299	10738.719	11140.482	13635.313	17411.660	16318.417	5912.972	14992.385	1666.198
32	21559.968	5036.945	16515.286	4981.065	14395.282	52614.679	29323.861	19095.513	19916.234	27672.676	18780.292	2651.582	16651.978	7746.985	7201.080	15969.668	7795.701	15789.132	21221.536	8958.580	13589.176	5530.982	6441.111	10213.733	5035.512	10466.483	22608.508	53773.546	3880.943	6242.808	11293.508	16956.882	4446.908	8090.863	17010.757	12955.869	10869.965	14575.531	13406.348	12275.278	5765.392	14617.272	1696.681
33	19915.088	5673.118	19457.731	5663.375	17459.803	53615.362	30631.741	16876.644	20800.859	25972.775	17312.796	2540.394	16717.314	7982.828	7693.684	14619.376	8644.219	14932.591	19141.077	9588.735	14226.496	4616.268	6409.302	10935.875	5209.170	10172.754	23365.038	56930.627	4666.703	8162.504	12159.219	18831.014	4599.647	8373.129	13703.229	12095.029	16275.145	13396.032	13970.594	13121.789	5439.854	14924.364	1734.098
34	19941.452	6533.385	19344.251	5524.677	17500.782	52599.491	30132.833	15560.740	20997.156	25330.011	17779.323	2083.611	18563.650	8329.571	6870.958	14672.390	8468.841	13285.418	17993.959	8726.176	13839.634	4407.649	5345.001	9374.958	4260.641	10597.729	25079.554	56116.784	4656.387	7207.384	12035.137	16247.635	3913.325	7437.209	12869.326	14067.166	15470.472	13701.223	12446.930	11249.377	5880.591	14547.385	1727.189
35	17315.088	6400.705	21800.969	5750.777	17069.216	52969.446	30585.891	15029.163	20150.644	23495.425	18715.529	2407.142	16860.024	8102.325	6513.898	14707.924	8171.101	13226.959	15607.737	8639.347	13747.646	4592.770	4790.499	10106.271	4457.225	9358.624	22455.196	55411.262	4828.612	8564.554	11951.173	15821.800	4310.217	7421.735	13548.484	14171.475	16386.332	13421.822	12067.232	10883.147	5551.614	14326.024	1704.606
36	16970.638	6271.465	21986.949	6246.247	18610.933	51850.985	31425.239	15104.243	19912.795	24919.078	23976.567	1969.271	18091.678	8038.421	7729.791	15330.915	7591.667	12739.512	17575.289	9481.274	13772.291	5049.840	5030.067	10516.918	4597.641	10385.958	24274.594	55643.379	5042.962	8798.677	16311.253	16385.473	4219.089	7801.719	15377.912	16098.049	23134.640	17841.221	13506.359	15215.716	6602.733	15400.718	1718.745
37	17486.740	5979.455	19894.455	5948.506	17689.628	51570.724	29882.375	16878.937	20159.814	28269.877	25435.467	2539.821	16942.268	7817.767	8346.478	15617.766	7566.736	14731.422	19140.218	9683.875	13324.391	4689.915	5291.414	11247.084	4927.764	10330.938	23492.559	56514.822	4762.416	8316.676	14918.836	18053.851	4193.585	7510.570	15909.489	12984.812	18392.571	18269.348	15201.388	16029.273	7399.383	15447.400	1720.582
38	20060.663	6058.547	19123.310	7129.725	19492.978	51361.246	30859.847	17069.216	20975.377	25235.445	20737.815	2442.676	17738.917	7737.242	7809.743	15808.905	7969.932	13359.351	17488.460	9350.887	14538.564	4874.749	4469.833	10525.801	4616.554	10212.873	24394.091	56275.827	3507.550	8435.600	14525.382	14267.188	4243.161	7056.365	13487.446	14155.141	22148.285	15309.710	11030.728	11329.328	6431.081	14966.964	1721.959
